Species,Genotype,Replicate,Zip.Color,Sample.id,Acclimation.Tank,Treatment.Tank,Treament
DL,4,27,Red,DL_4_27,,,
DL,4,28,Red,DL_4_28,,,
DL,4,29,Red,DL_4_29,,,
DL,4,30,Red,DL_4_30,,,
DL,4,31,Red,DL_4_31,,,
DL,4,32,Red,DL_4_32,,,
DL,4,33,Red,DL_4_33,,,
DL,4,34,Red,DL_4_34,,,
DL,4,35,Red,DL_4_35,,,
DL,4,36,Red,DL_4_36,,,
DL,4,37,Red,DL_4_37,,,
DL,4,38,Red,DL_4_38,,,
DL,4,39,Red,DL_4_39,,,
DL,4,40,Red,DL_4_40,,,
DL,4,41,Red,DL_4_41,,,
DL,4,42,Red,DL_4_42,,,
MC,1,1,Black,MC_1_1,,,
MC,1,2,Black,MC_1_2,,,
MC,1,3,Black,MC_1_3,,,
MC,1,4,Black,MC_1_4,,,
MC,1,5,Black,MC_1_5,,,
MC,1,6,Black,MC_1_6,,,
MC,1,7,Black,MC_1_7,,,
MC,1,8,Black,MC_1_8,,,
MC,1,9,Black,MC_1_9,,,
MC,1,10,Black,MC_1_10,,,
MC,1,11,Black,MC_1_11,,,
MC,1,12,Black,MC_1_12,,,
MC,1,13,Black,MC_1_13,,,
MC,1,14,Black,MC_1_14,,,
MC,1,15,Black,MC_1_15,,,
MC,1,16,Black,MC_1_16,,,
MC,1,17,Black,MC_1_17,,,
MC,1,18,Black,MC_1_18,,,
MC,1,19,Black,MC_1_19,,,
MC,1,20,Black,MC_1_20,,,
MC,1,21,Black,MC_1_21,,,
MC,1,22,Black,MC_1_22,,,
MC,1,23,Black,MC_1_23,,,
MC,1,24,Black,MC_1_24,,,
MC,1,25,Black,MC_1_25,,,
MC,1,26,Black,MC_1_26,,,
MC,1,27,Black,MC_1_27,,,
MC,1,28,Black,MC_1_28,,,
MC,1,29,Black,MC_1_29,,,
MC,1,30,Black,MC_1_30,,,
MC,1,31,Black,MC_1_31,,,
MC,1,32,Black,MC_1_32,,,
MC,1,33,Black,MC_1_33,,,
MC,1,34,Black,MC_1_34,,,
MC,1,35,Black,MC_1_35,,,
MC,1,36,Black,MC_1_36,,,
MC,1,37,Black,MC_1_37,,,
MC,1,38,Black,MC_1_38,,,
MC,1,39,Black,MC_1_39,,,
MC,1,40,Black,MC_1_40,,,
MC,1,41,Black,MC_1_41,,,
MC,1,42,Black,MC_1_42,,,
MC,2,1,Yellow,MC_2_1,,,
MC,2,2,Yellow,MC_2_2,,,
MC,2,3,Yellow,MC_2_3,,,
MC,2,4,Yellow,MC_2_4,,,
MC,2,5,Yellow,MC_2_5,,,
MC,2,6,Yellow,MC_2_6,,,
MC,2,7,Yellow,MC_2_7,,,
MC,2,8,Yellow,MC_2_8,,,
MC,2,9,Yellow,MC_2_9,,,
MC,2,10,Yellow,MC_2_10,,,
MC,2,11,Yellow,MC_2_11,,,
MC,2,12,Yellow,MC_2_12,,,
MC,2,13,Yellow,MC_2_13,,,
MC,2,14,Yellow,MC_2_14,,,
MC,2,15,Yellow,MC_2_15,,,
MC,2,16,Yellow,MC_2_16,,,
MC,2,17,Yellow,MC_2_17,,,
MC,2,18,Yellow,MC_2_18,,,
MC,2,19,Yellow,MC_2_19,,,
MC,2,20,Yellow,MC_2_20,,,
MC,2,21,Yellow,MC_2_21,,,
MC,2,22,Yellow,MC_2_22,,,
MC,2,23,Yellow,MC_2_23,,,
MC,2,24,Yellow,MC_2_24,,,
MC,2,25,Yellow,MC_2_25,,,
MC,2,26,Yellow,MC_2_26,,,
MC,2,27,Yellow,MC_2_27,,,
MC,2,28,Yellow,MC_2_28,,,
MC,2,29,Yellow,MC_2_29,,,
MC,2,30,Yellow,MC_2_30,,,
MC,2,31,Yellow,MC_2_31,,,
MC,2,32,Yellow,MC_2_32,,,
MC,2,33,Yellow,MC_2_33,,,
MC,2,34,Yellow,MC_2_34,,,
